Frame,Keypoint ID,Keypoint Score,Keypoint Visibility,Keypoint Likelihood,Keypoint Part,Bounding Box,Pose Confidence,X,Y
208,[0.38624856 0.52246034 0.7471817 ],0.3011994,[0.3025045  0.51088774 0.6719314 ],[0.30737057 0.46114483 0.6894953 ],[0.38957354 0.45045146 0.43357375],"[[0.48388672 0.5223254  0.29307806]
 [0.48698714 0.4492943  0.3961737 ]
 [0.5829462  0.5213074  0.2505306 ]
 [0.593086   0.45879957 0.21271667]]",[0.5675413 0.5150039 0.634184 ],0.31208667,0.2996334
209,[0.3871692  0.52296454 0.74473643],0.3020208,[0.30263996 0.5115542  0.672917  ],[0.30779296 0.46179143 0.6331406 ],[0.38769117 0.45129612 0.42674208],"[[0.48615196 0.52169144 0.30153546]
 [0.4866458  0.44964468 0.431581  ]
 [0.5858818  0.5192689  0.24080145]
 [0.5910134  0.4645934  0.3293115 ]]",[0.57041675 0.5163155  0.607985  ],0.31296256,0.3003555
210,[0.3862705  0.5247237  0.71420956],0.3004351,[0.30129752 0.5130076  0.6721871 ],[0.3064517  0.46168682 0.6672411 ],[0.38776252 0.45197564 0.43733037],"[[0.48631272 0.5231584  0.32349855]
 [0.48702574 0.44944224 0.41922185]
 [0.5866658  0.51898146 0.20319654]
 [0.59224266 0.4652891  0.3095717 ]]",[0.5698886  0.5171628  0.59258926],0.3112017,0.2987076
211,[0.38648283 0.52510595 0.6936767 ],0.30003297,[0.30096433 0.5132103  0.65311646],[0.30620813 0.46241912 0.6514128 ],[0.38820654 0.4516772  0.40895855],"[[0.48606387 0.52382547 0.33279648]
 [0.48793077 0.4498411  0.44230202]
 [0.58718693 0.5198951  0.20633669]
 [0.59286416 0.46531707 0.30980957]]",[0.5684058 0.5179342 0.5909997],0.31066105,0.29831898
213,[0.38792235 0.52525604 0.6944455 ],0.3016361,[0.30361506 0.51365215 0.6395315 ],[0.30808052 0.4640334  0.5710484 ],[0.3883756  0.45196512 0.40506178],"[[0.48732    0.522488   0.3198842 ]
 [0.4876361  0.44978222 0.41314358]
 [0.5911253  0.5204075  0.31089753]
 [0.5931145  0.46629843 0.34408262]]",[0.57063925 0.51717395 0.5908627 ],0.31401965,0.2999648
216,[0.3879583 0.527493  0.6616189],0.30235466,[0.30460176 0.51643044 0.5209504 ],[0.30966017 0.4661683  0.43256477],[0.38704455 0.45325914 0.47114363],"[[0.4863051  0.5277941  0.35624325]
 [0.48551127 0.45033836 0.35787377]
 [0.58664113 0.5218998  0.24389209]
 [0.5922333  0.46718922 0.3694915 ]]",[0.5692297  0.51371276 0.49415135],0.31498852,0.3013706
217,[0.38562548 0.5281653  0.64370936],0.30324507,[0.30485922 0.51690155 0.51632273],[0.3096841  0.46744272 0.46049538],[0.38499168 0.45388758 0.5099851 ],"[[0.4820176  0.52958244 0.38274693]
 [0.48271883 0.44983238 0.46112496]
 [0.58292913 0.5238264  0.24820952]
 [0.58585995 0.46820074 0.27670357]]",[0.5638939  0.51363605 0.47363406],0.31597027,0.30278587
218,[0.38850322 0.52913564 0.63358486],0.30053085,[0.30314368 0.5181033  0.44904065],[0.30759636 0.4681039  0.51168823],[0.38845852 0.4537628  0.4892095 ],"[[0.48813573 0.5256411  0.33688262]
 [0.4887912  0.45145226 0.37530318]
 [0.59587854 0.522466   0.30451444]
 [0.6005922  0.4691596  0.3299844 ]]",[0.5730747  0.5166615  0.53408694],0.3119019,0.2994247
219,[0.38759032 0.52942216 0.62917733],0.30138165,[0.30418205 0.51784354 0.47372785],[0.30789235 0.4694727  0.5415423 ],[0.38759428 0.4537531  0.48332244],"[[0.48512593 0.5267513  0.3318934 ]
 [0.48482108 0.4514713  0.40345457]
 [0.58991826 0.52196854 0.2900411 ]
 [0.5938901  0.46778366 0.3380565 ]]",[0.56769276 0.5158558  0.53078866],0.31258127,0.30069998
220,[0.38683525 0.53047377 0.61602974],0.30654463,[0.30765972 0.517039   0.40704244],[0.31192958 0.47091144 0.43809777],[0.3875554 0.4547388 0.5288379],"[[0.47932038 0.53126246 0.29562095]
 [0.4818318  0.45111212 0.4634208 ]
 [0.58135676 0.5151785  0.24066946]
 [0.5864812  0.4650487  0.33572954]]",[0.56076515 0.51409924 0.42938665],0.3195655,0.30684918
